Tier	Effect Name	Categories	Description	Extra Component	Legendary Modules	Unlocked	Notes			
4 Star	Charged	Weapon: Melee	Light attacks build up charge released with heavy attack (max charges 3).	3 Fusion Core	120	Yes	RAID: Gleaming Depths (Stage 3 only)			
4 Star	Choo-Choo's	Power Armor	10% chance for 500 damage & Bloody Mess when sprinting into targets (up to 50% on full stack).	15 Cannonballs	120	Yes	RAID: Gleaming Depths (Stage 3 only)			
4 Star	Combo-Breaker's	Weapon: Melee	When dealing damage, 50% chance to not use AP (10% chance for auto melee).	1 Day Tripper	120	No	RAID: Gleaming Depths (Stage 3 only)			
4 Star	Conductor's	Weapon: Ranged • Weapon: Melee	Critical hits restore 10 Health & AP instantly and 100 more over 5s for you & teammates within 100ft.	5 Pure Crimson Flux	120	Yes	RAID: Gleaming Depths (Stage 3 only)			
4 Star	Electrician's	Weapon: Ranged	When reloading, emit a shock wave that stuns nearby targets for 3s.	1 Bobblehead: Energy Weapons	120	Yes	RAID: Gleaming Depths (Stage 2 only)			
4 Star	Encircler's	Weapon: Ranged • Weapon: Melee	+10% damage for each combat target around you (up to +50%).	1 Overdrive	120	Yes	RAID: Gleaming Depths (Stage 4 only)			
4 Star	Fencer's	Weapon: Melee	+12.5% melee damage; +12.5% per nearby teammate (up to +50% on full team).	1 Bobblehead: Melee	120	No	RAID: Gleaming Depths (Stage 2 only)			
4 Star	Fracturer's	Weapon: Ranged • Weapon: Melee	When crippling limbs, they explode and deal up to 50 explosion damage to nearby targets.	25 Gunpowder	120	Yes	RAID: Gleaming Depths (Stage 1 only)			
4 Star	Icemen's	Weapon: Melee	Applies Cryo on hit that slows targets when dealing damage in V.A.T.S.	5 Pure Fluorescent Flux	120	No	RAID: Gleaming Depths (Stage 4 only)			
4 Star	Limit-Breaking	Armor • Power Armor	Each worn armor piece reduces critical hit cost by -10% (up to -50% on full stack).	5 Pure Violet Flux	120	Yes	RAID: Gleaming Depths (Stage 5 only)			
4 Star	Miasma's	Armor • Power Armor	When hit, a poisonous DoT cloud harms nearby targets for 10s (damage increases per equipped piece).	1 Plague Walker Serum	120	No	RAID: Gleaming Depths (Stage 4 only)			
4 Star	Pin-Pointer's	Weapon: Ranged	+20% weak spot damage.	1 Formula P	120	Yes	RAID: Gleaming Depths (Stage 1 only)			
4 Star	Polished	Weapon: Ranged • Weapon: Melee	Greater equipped item condition increases weapon damage (up to +60% at 100%).	1 Improved Repair Kit	120	No	RAID: Gleaming Depths (Stage 4 only)			
4 Star	Pounder's	Weapon: Melee	+10% damage per Onslaught stack, +10 max stacks.	1 Fury	120	Yes	RAID: Gleaming Depths (Stage 3 only)			
4 Star	Propelling	Power Armor	Movement & sprint speed increased by +5% (up to +25% on full stack).	15 Vault Steel Scrap	120	No	RAID: Gleaming Depths (Stage 5 only)			
4 Star	Pyromaniac's	Weapon: Ranged • Weapon: Melee	When a combat target is burning, deal +50% bonus damage.	15 Asbestos	120	Yes	RAID: Gleaming Depths (Stage 5 only)			
4 Star	Radioactive-Powered	Power Armor	+2 AP regeneration at cost of RADS (up to +10 AP on full stack).	5 Pure Cobalt Flux	120	Yes	RAID: Gleaming Depths (Stage 1 only)			
4 Star	Ranger's	Armor • Power Armor	Ranged weapons deal +5% bonus damage (up to +25% on full stack).	1 Psychobuff	120	Yes	RAID: Gleaming Depths (Stage 4 only)			
4 Star	Reflective	Power Armor	Return 10% of damage received back toward enemy target (up to 50% on full stack).	1 Bobblehead: Science	120	No	RAID: Gleaming Depths (Stage 3 only)			
4 Star	Rejuvenator's	Power Armor	Gradually restores wearer's & teammates Health & AP within 50ft.	5 Stimpak Diffuser	120	No	RAID: Gleaming Depths (Stage 2 only)			
4 Star	Runner's	Armor • Power Armor	Sprinting AP cost reduced by -20% (up to -100% on full stack).	10 Purified Water	120	Yes	RAID: Gleaming Depths (Stage 1 only)			
4 Star	Sawbones's	Armor • Power Armor	Health regenerates slowly (+1 Health/s; up to +5 Health/s on full stack).	1 Healing Factor Serum	120	No	RAID: Gleaming Depths (Stage 5 only)			
4 Star	Scanner's	Power Armor	V.A.T.S. attack AP cost reduced by -5% (up to -25% on full stack).	1 X-Cell	120	No	RAID: Gleaming Depths (Stage 1 only)			
4 Star	Stabilizer's	Weapon: Ranged	Improves weapon recoil & stability by 50%.	25 Rubber	120	No	RAID: Gleaming Depths (Stage 2 only)			
4 Star	Stalwart's	Power Armor	Power Armor breaks 5% slower for owner & teammates within 50ft (up to 25% on full stack).	1 Bobblehead: Leader	120	Yes	RAID: Gleaming Depths (Stage 5 only)			
4 Star	Tanky's	Armor • Power Armor	+200 DR for 10s when standing still (20s cooldown; up to +1000 on full stack).	5 Ballistic Fiber	120	Yes	RAID: Gleaming Depths (Stage 2 only)			
4 Star	Thrill-Seeker's	Weapon: Ranged • Weapon: Melee	Grants 3% Melee Weapon Speed and 3% Reload Speed per Kill Streak stack (max 30% each).	1 Adrenal Reaction Serum	120	No				
4 Star	Viper's	Weapon: Ranged • Weapon: Melee	When a combat target is poisoned, deal +50% bonus damage.	15 Acid	120	Yes	RAID: Gleaming Depths (Stage 5 only)			
