Tier	Effect Name	Categories	Description	Extra Component	Legendary Modules	Unlocked	Notes
2 Star	Rushing	Armor • Power Armor	Gain Action Points over time while on a Kill Streak; stronger with higher streak.	1 Bobblehead: Agility	30	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
3 Star	Acrobat's	Armor	-50% fall damage.	1 Marsupial Serum	60	No	
3 Star	Active	Armor • Power Armor	Max AP increased by +20.	1 Bobblehead: Agility	60	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
3 Star	Adamantium	Armor	Receive 15% less limb damage.	1 Twisted Muscles Serum	60	No	
3 Star	Arms Keeper's	Armor • Power Armor	Weapon weights reduced by 20%.	1 Bobblehead: Small Guns	60	No	
3 Star	Barbarian	Weapon: Melee	+1 STR per kill while on a Kill Streak (max 10).	1 Bobblehead: Melee	60	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
3 Star	Belted	Armor • Power Armor	Ammo weight reduced by 20%.	25 Lead	60	No	
3 Star	Blocker	Weapon: Melee	+15% more damage blocked.	10 Oil	60	No	
3 Star	Diver's	Armor	Breathe underwater.	15 Plastic	60	No	
3 Star	Doctor's	Armor • Power Armor	+5% effectiveness of Stimpaks, RadAway, and Rad-X.	1 Stimpak: Super	60	No	
3 Star	Glowing	Weapon: Ranged • Weapon: Melee	[Ghoul] Target kills increase Glow by a small amount. [Human] Target kills increase Rads by a small amount (20 RADs).	1 Bobblehead: Science	60	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
3 Star	Healthy	Armor • Power Armor	Max HP increased by +20.	1 Bobblehead: Endurance	60	No	Burning Springs • Bounty Hunting: Head Hunt & Grunt Hunt
3 Star	Luck	Weapon: Ranged • Weapon: Melee	+3 Luck.	1 Bobblehead: Luck	60	No	
3 Star	Nimble	Weapon: Ranged	+100% faster movement speed while aiming.	25 Springs	60	No	
3 Star	Sentinel's	Armor • Power Armor	-5% damage taken while not moving.	1 Scaly Skin Serum	60	No	
4 Star	Battle-Loader's	Armor • Power Armor	15% chance to instantly reload when bashing (up to 75% on full stack).	1 Talons Serum	120	No	RAID: Gleaming Depths (Stage 2 only)
4 Star	Bruiser's	Armor • Power Armor	Melee weapons deal +5% bonus damage (up to +25% on full stack).	1 Bufftats	120	No	RAID: Gleaming Depths (Stage 4 only)
4 Star	Combo-Breaker's	Weapon: Melee	When dealing damage, 50% chance to not use AP (10% chance for auto melee).	1 Day Tripper	120	No	RAID: Gleaming Depths (Stage 3 only)
4 Star	Fencer's	Weapon: Melee	+12.5% melee damage; +12.5% per nearby teammate (up to +50% on full team).	1 Bobblehead: Melee	120	No	RAID: Gleaming Depths (Stage 2 only)
4 Star	Icemen's	Weapon: Melee	Applies Cryo on hit that slows targets when dealing damage in V.A.T.S.	5 Pure Fluorescent Flux	120	No	RAID: Gleaming Depths (Stage 4 only)
4 Star	Miasma's	Armor • Power Armor	When hit, a poisonous DoT cloud harms nearby targets for 10s (damage increases per equipped piece).	1 Plague Walker Serum	120	No	RAID: Gleaming Depths (Stage 4 only)
4 Star	Polished	Weapon: Ranged • Weapon: Melee	Greater equipped item condition increases weapon damage (up to +60% at 100%).	1 Improved Repair Kit	120	No	RAID: Gleaming Depths (Stage 4 only)
4 Star	Propelling	Power Armor	Movement & sprint speed increased by +5% (up to +25% on full stack).	15 Vault Steel Scrap	120	No	RAID: Gleaming Depths (Stage 5 only)
4 Star	Reflective	Power Armor	Return 10% of damage received back toward enemy target (up to 50% on full stack).	1 Bobblehead: Science	120	No	RAID: Gleaming Depths (Stage 3 only)
4 Star	Rejuvenator's	Power Armor	Gradually restores wearer's & teammates Health & AP within 50ft.	5 Stimpak Diffuser	120	No	RAID: Gleaming Depths (Stage 2 only)
4 Star	Sawbones's	Armor • Power Armor	Health regenerates slowly (+1 Health/s; up to +5 Health/s on full stack).	1 Healing Factor Serum	120	No	RAID: Gleaming Depths (Stage 5 only)
4 Star	Scanner's	Power Armor	V.A.T.S. attack AP cost reduced by -5% (up to -25% on full stack).	1 X-Cell	120	No	RAID: Gleaming Depths (Stage 1 only)
4 Star	Stabilizer's	Weapon: Ranged	Improves weapon recoil & stability by 50%.	25 Rubber	120	No	RAID: Gleaming Depths (Stage 2 only)
4 Star	Thrill-Seeker's	Weapon: Ranged • Weapon: Melee	Grants 3% Melee Weapon Speed and 3% Reload Speed per Kill Streak stack (max 30% each).	1 Adrenal Reaction Serum	120	No	
